round,Spawn_1,Spawn_1_time,Spawn_1_min,Spawn_1_max,Spawn_2,Spawn_2_time,Spawn_2_min,Spawn_2_max,Spawn_3,Spawn_3_time,Spawn_3_min,Spawn_3_max,Spawn_4,Spawn_4_time,Spawn_4_min,Spawn_4_max,Spawn_5,Spawn_5_time,Spawn_5_min,Spawn_5_max,Spawn_6,Spawn_6_time,Spawn_6_min,Spawn_6_max,Spawn_7,Spawn_7_time,Spawn_7_min,Spawn_7_max,,,,
1,mon_pig_1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,mon_pig_1,0,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,mon_pig_1,0,2,3,mon_pig_2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
4,mon_pig_1,0,2,4,mon_pig_2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5,mon_pig_1,0,3,4,mon_pig_2,0,1,1,mon_pig_3,0,1,1,,,,,,,,,,,,,,,,,,,,
6,mon_pig_1,0,3,5,mon_pig_2,0,1,2,mon_pig_3,0,1,1,,,,,,,,,,,,,,,,,,,,
7,mon_pig_1,0,3,5,mon_pig_2,0,1,2,mon_pig_3,0,1,1,mon_pig_4,0,1,1,,,,,,,,,,,,,,,,
8,mon_pig_1,0,4,5,mon_pig_2,0,1,2,mon_pig_3,0,1,1,mon_pig_4,0,1,1,,,,,,,,,,,,,,,,
9,mon_pig_1,0,4,6,mon_pig_2,0,1,2,mon_pig_3,0,1,2,mon_pig_4,0,1,1,,,,,,,,,,,,,,,,
10,mon_pig_1,0,4,6,mon_pig_2,0,1,2,mon_pig_3,0,1,2,mon_pig_4,0,1,2,boss1,0,1,1,,,,,,,,,,,,
11,mon_pig_2,0,1,2,mon_pig_3,0,1,2,mon_pig_4,0,1,2,mon_pig_5,0,2,3,,,,,,,,,,,,,,,,
12,mon_pig_2,0,2,2,mon_pig_3,0,1,2,mon_pig_4,0,2,2,mon_pig_5,0,2,4,,,,,,,,,,,,,,,,
13,mon_pig_2,0,2,2,mon_pig_3,0,2,2,mon_pig_4,0,1,2,mon_pig_5,0,2,4,mon_pig_6,0,1,1,,,,,,,,,,,,
14,mon_pig_2,0,2,2,mon_pig_3,0,2,2,mon_pig_4,0,2,2,mon_pig_5,0,3,4,mon_pig_6,0,1,1,,,,,,,,,,,,
15,mon_pig_2,0,2,3,mon_pig_3,0,2,2,mon_pig_4,0,2,2,mon_pig_5,0,3,5,mon_pig_6,0,1,2,,,,,,,,,,,,
16,mon_pig_2,0,2,2,mon_pig_3,0,2,2,mon_pig_4,0,2,3,mon_pig_5,0,3,5,mon_pig_6,0,1,2,mon_pig_7,0,1,1,,,,,,,,
17,mon_pig_2,0,2,3,mon_pig_3,0,2,3,mon_pig_4,0,2,3,mon_pig_5,0,4,5,mon_pig_6,0,2,2,mon_pig_7,0,1,1,,,,,,,,
18,mon_pig_2,0,2,3,mon_pig_3,0,2,3,mon_pig_4,0,2,3,mon_pig_5,0,4,6,mon_pig_6,0,2,2,mon_pig_7,0,1,2,mon_pig_8,0,1,1,,,,
19,mon_pig_2,0,3,3,mon_pig_3,0,2,3,mon_pig_4,0,3,3,mon_pig_5,0,4,6,mon_pig_6,0,2,2,mon_pig_7,0,1,2,mon_pig_8,0,1,2,,,,
20,mon_pig_2,0,3,3,mon_pig_3,0,3,3,mon_pig_4,0,3,3,mon_pig_5,0,5,6,mon_pig_6,0,2,2,mon_pig_7,0,2,2,mon_pig_8,0,1,2,ooze_boss,0,1,1
21,mon_pig_3,0,3,3,mon_pig_4,0,3,3,mon_pig_5,0,5,6,mon_pig_6,0,2,3,mon_pig_7,0,2,2,mon_pig_8,0,2,2,,,,,,,,
22,mon_pig_3,0,3,3,mon_pig_4,0,3,4,mon_pig_5,0,5,7,mon_pig_6,0,2,3,mon_pig_7,0,2,2,mon_pig_8,0,2,2,,,,,,,,
23,mon_pig_4,0,3,4,mon_pig_5,0,6,7,mon_pig_6,0,2,3,mon_pig_7,0,2,2,mon_pig_8,0,2,2,mon_pig_9,0,1,1,,,,,,,,
24,mon_pig_4,0,3,4,mon_pig_5,0,6,8,mon_pig_6,0,3,3,mon_pig_7,0,2,3,mon_pig_8,0,2,2,mon_pig_9,0,1,1,,,,,,,,
25,mon_pig_4,0,4,4,mon_pig_5,0,6,8,mon_pig_6,0,3,3,mon_pig_7,0,2,3,mon_pig_8,0,2,3,mon_pig_9,0,1,2,,,,,,,,
26,mon_pig_5,0,6,8,mon_pig_6,0,3,3,mon_pig_7,0,3,3,mon_pig_8,0,2,3,mon_pig_9,0,1,2,mon_pig_10,0,1,1,,,,,,,,
27,mon_pig_5,0,7,9,mon_pig_6,0,3,4,mon_pig_7,0,3,3,mon_pig_8,0,3,3,mon_pig_9,0,2,2,mon_pig_10,0,1,1,,,,,,,,
28,mon_pig_5,0,7,9,mon_pig_6,0,3,4,mon_pig_7,0,3,3,mon_pig_8,0,3,3,mon_pig_9,0,2,2,mon_pig_10,0,1,2,,,,,,,,
29,mon_pig_6,0,4,4,mon_pig_7,0,3,4,mon_pig_8,0,3,3,mon_pig_9,0,2,2,mon_pig_10,0,2,2,,,,,,,,,,,,
30,mon_pig_6,0,4,4,mon_pig_7,0,3,4,mon_pig_8,0,3,4,mon_pig_9,0,2,3,mon_pig_10,0,2,2,necromancer_boss,0,1,1,,,,,,,,
